Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,CouncilArea_filled
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18/03/2017,2.5,3067,4,2,2.0,780,1900.0,Yarra,-378.073,1.449.952,Northern Metropolitan,4019.0,Yarra
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,18/03/2017,2.5,3067,3,2,2.0,0,2010.0,Yarra,-378.093,1.449.959,Northern Metropolitan,4019.0,Yarra
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Jellis,18/03/2017,2.5,3067,3,2,2.0,1334,1970.0,Yarra,-378.078,1.449.965,Northern Metropolitan,4019.0,Yarra
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,18/06/2016,2.5,3067,2,1,1.0,0,1970.0,Yarra,-378.015,1.449.972,Northern Metropolitan,4019.0,Yarra
Abbotsford,52a William St,2,h,1100000,PI,Biggin,18/06/2016,2.5,3067,2,2,1.0,124,2013.0,Yarra,-378.079,1.449.977,Northern Metropolitan,4019.0,Yarra
Abbotsford,49 Park St,2,h,1315000,S,Marshall,19/11/2016,2.5,3067,2,1,0.0,147,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,Yarra
Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Greg,22/08/2016,2.5,3067,1,1,1.0,0,1970.0,Yarra,-378.016,1.449.988,Northern Metropolitan,4019.0,Yarra
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22/08/2016,2.5,3067,3,3,1.0,166,2012.0,Yarra,-378.017,1.450.001,Northern Metropolitan,4019.0,Yarra
Abbotsford,116/56 Nicholson St,1,u,457000,S,Jellis,22/08/2016,2.5,3067,1,1,1.0,0,1970.0,Yarra,-378.078,1.449.965,Northern Metropolitan,4019.0,Yarra
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22/08/2016,2.5,3067,2,2,2.0,98,1920.0,Yarra,-378.005,1.449.952,Northern Metropolitan,4019.0,Yarra
Abbotsford,31 Turner St,4,h,1542000,S,Collins,24/09/2016,2.5,3067,4,3,1.0,0,1970.0,Yarra,-377.994,1.449.965,Northern Metropolitan,4019.0,Yarra
Abbotsford,166 Gipps St,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,3,2,2.0,147,1970.0,Yarra,-37.805,1.449.943,Northern Metropolitan,4019.0,Yarra
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,3,1,1.0,168,1950.0,Yarra,-378.007,1.449.958,Northern Metropolitan,4019.0,Yarra
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,26/07/2016,2.5,3067,1,1,1.0,0,2013.0,Yarra,-378.055,1.449.961,Northern Metropolitan,4019.0,Yarra
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27/11/2016,2.5,3067,2,1,0.0,162,1900.0,Yarra,-378.016,1.449.956,Northern Metropolitan,4019.0,Yarra
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27/11/2016,2.5,3067,3,2,1.0,120,1998.0,Yarra,-378.022,1.449.954,Northern Metropolitan,4019.0,Yarra
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28/05/2016,2.5,3067,2,1,0.0,182,1900.0,Yarra,-378.021,1.449.976,Northern Metropolitan,4019.0,Yarra
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30/07/2016,2.5,3067,2,1,1.0,172,1930.0,Yarra,-378.086,1.449.946,Northern Metropolitan,4019.0,Yarra
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,03/09/2016,13.5,3042,3,2,1.0,303,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,Moonee Valley
Airport West,50 Bedford St,3,h,730000,VB,Nelson,03/12/2016,13.5,3042,3,2,1.0,0,1965.0,Moonee Valley,-377.203,1.448.755,Western Metropolitan,3464.0,Moonee Valley
Airport West,50 Bedford St,3,h,770000,SP,Nelson,04/03/2017,13.5,3042,3,2,1.0,0,1965.0,Moonee Valley,-377.203,1.448.755,Western Metropolitan,3464.0,Moonee Valley
Airport West,23 Hart St,2,h,603000,S,Nelson,04/03/2017,13.5,3042,2,1,1.0,272,1950.0,Moonee Valley,-377.294,144.888,Western Metropolitan,3464.0,Moonee Valley
Airport West,1/80 Hawker St,3,t,700000,S,Brad,04/03/2017,13.5,3042,3,2,2.0,239,2009.0,Moonee Valley,-377.218,1.448.837,Western Metropolitan,3464.0,Moonee Valley
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,04/03/2017,13.5,3042,2,1,1.0,290,1980.0,Moonee Valley,-377.273,1.448.744,Western Metropolitan,3464.0,Moonee Valley
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,04/03/2017,13.5,3042,2,1,1.0,168,2011.0,Moonee Valley,-377.215,1.448.864,Western Metropolitan,3464.0,Moonee Valley
Airport West,54 Marshall Rd,3,h,720000,S,Barry,06/08/2016,13.5,3042,2,1,1.0,620,1970.0,Moonee Valley,-377.173,1.448.872,Western Metropolitan,3464.0,Moonee Valley
Airport West,36 Roberts Rd,4,h,785000,S,Considine,06/08/2016,13.5,3042,3,1,2.0,597,1970.0,Moonee Valley,-377.259,1.448.792,Western Metropolitan,3464.0,Moonee Valley
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,07/05/2016,13.5,3042,2,1,1.0,110,2015.0,Moonee Valley,-377.216,144.871,Western Metropolitan,3464.0,Moonee Valley
Airport West,3/19 Hart St,2,u,515000,S,Barry,07/11/2016,13.5,3042,2,1,1.0,141,2013.0,Moonee Valley,-377.298,1.448.883,Western Metropolitan,3464.0,Moonee Valley
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10/09/2016,13.5,3042,2,1,1.0,120,2012.0,Moonee Valley,-377.234,1.448.792,Western Metropolitan,3464.0,Moonee Valley
Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/2016,13.5,3042,3,1,1.0,0,1950.0,Moonee Valley,-377.217,1.448.783,Western Metropolitan,3464.0,Moonee Valley
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11/02/2017,13.5,3042,3,1,1.0,265,1993.0,Moonee Valley,-377.302,1.448.855,Western Metropolitan,3464.0,Moonee Valley
Airport West,145a Victory Rd,2,u,440000,S,Barry,13/08/2016,13.5,3042,2,1,1.0,192,1970.0,Moonee Valley,-377.177,1.448.787,Western Metropolitan,3464.0,Moonee Valley
Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/2016,13.5,3042,3,2,2.0,165,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,Moonee Valley
Airport West,180 Parer Rd,3,h,830000,S,Barry,16/04/2016,13.5,3042,3,1,2.0,971,1960.0,Moonee Valley,-377.186,144.876,Western Metropolitan,3464.0,Moonee Valley
Airport West,4/54 Hawker St,2,u,462500,S,Barry,16/07/2016,13.5,3042,2,1,1.0,164,2003.0,Moonee Valley,-377.218,1.448.863,Western Metropolitan,3464.0,Moonee Valley
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,16/07/2016,13.5,3042,3,2,2.0,657,1970.0,Moonee Valley,-377.269,1.448.742,Western Metropolitan,3464.0,Moonee Valley
Airport West,174 Parer Rd,2,h,675000,S,Barry,16/07/2016,13.5,3042,2,1,1.0,612,1975.0,Moonee Valley,-377.187,1.448.765,Western Metropolitan,3464.0,Moonee Valley
Airport West,75 King St,3,h,910000,S,McDonald,17/09/2016,13.5,3042,3,1,1.0,775,1970.0,Moonee Valley,-377.231,1.448.835,Western Metropolitan,3464.0,Moonee Valley
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,18/03/2017,13.5,3042,3,3,2.0,555,1980.0,Moonee Valley,-377.285,1.448.694,Western Metropolitan,3464.0,Moonee Valley
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18/03/2017,13.5,3042,3,2,2.0,422,1995.0,Moonee Valley,-377.164,1.448.792,Western Metropolitan,3464.0,Moonee Valley
Airport West,106 Parer Rd,3,h,790000,S,Nelson,18/03/2017,13.5,3042,3,1,3.0,614,1970.0,Moonee Valley,-377.194,1.448.827,Western Metropolitan,3464.0,Moonee Valley
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18/06/2016,13.5,3042,2,2,1.0,161,2010.0,Moonee Valley,-377.231,1.448.802,Western Metropolitan,3464.0,Moonee Valley
Airport West,37 North St,3,t,825000,SP,Barry,19/11/2016,13.5,3042,3,2,1.0,293,1960.0,Moonee Valley,-37.72,1.448.776,Western Metropolitan,3464.0,Moonee Valley
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22/05/2016,13.5,3042,3,1,1.0,579,1975.0,Moonee Valley,-377.226,1.448.733,Western Metropolitan,3464.0,Moonee Valley
Airport West,110 Halsey Rd,3,h,805000,S,Barry,22/08/2016,13.5,3042,3,1,1.0,623,1970.0,Moonee Valley,-377.184,144.882,Western Metropolitan,3464.0,Moonee Valley
Airport West,2/13 North St,2,u,510000,S,Nelson,22/08/2016,13.5,3042,2,1,1.0,141,1970.0,Moonee Valley,-377.202,1.448.797,Western Metropolitan,3464.0,Moonee Valley
Airport West,105a Victory Rd,3,h,612000,S,Nelson,22/08/2016,13.5,3042,3,2,1.0,212,1970.0,Moonee Valley,-377.181,1.448.824,Western Metropolitan,3464.0,Moonee Valley
Airport West,117 Marshall Rd,3,h,662000,S,Brad,23/04/2016,13.5,3042,3,1,2.0,612,1970.0,Moonee Valley,-377.169,1.448.815,Western Metropolitan,3464.0,Moonee Valley
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,24/09/2016,13.5,3042,4,3,2.0,532,1970.0,Moonee Valley,-377.263,144.869,Western Metropolitan,3464.0,Moonee Valley
Airport West,33 North St,3,h,720000,PI,Nelson,25/02/2017,13.5,3042,3,1,1.0,585,1970.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,Moonee Valley
Airport West,49 Roberts Rd,4,h,765000,S,Prof.,27/11/2016,13.5,3042,4,1,2.0,509,1970.0,Moonee Valley,-377.261,1.448.785,Western Metropolitan,3464.0,Moonee Valley
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,27/11/2016,13.5,3042,4,2,3.0,628,1975.0,Moonee Valley,-377.256,1.448.739,Western Metropolitan,3464.0,Moonee Valley
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,03/09/2016,3.3,3206,2,1,0.0,120,1900.0,Port Phillip,-378.459,1.449.555,Southern Metropolitan,3280.0,Port Phillip
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,03/09/2016,3.3,3206,2,1,0.0,159,1970.0,Port Phillip,-37.845,1.449.538,Southern Metropolitan,3280.0,Port Phillip
Albert Park,112 Beaconsfield Pde,3,h,2255000,PI,Buxton,04/03/2017,3.3,3206,3,2,0.0,211,1890.0,Port Phillip,-378.481,1.449.499,Southern Metropolitan,3280.0,Port Phillip
Albert Park,94 Graham St,3,h,1850000,S,Greg,04/03/2017,3.3,3206,3,2,0.0,128,1890.0,Port Phillip,-378.452,1.449.488,Southern Metropolitan,3280.0,Port Phillip
Albert Park,396 Montague St,2,h,1436000,S,RT,04/03/2017,3.3,3206,2,1,0.0,130,1900.0,Port Phillip,-378.431,1.449.565,Southern Metropolitan,3280.0,Port Phillip
Albert Park,75 Graham St,2,h,1110000,S,Marshall,06/08/2016,3.3,3206,1,1,0.0,147,1900.0,Port Phillip,-378.444,1.449.484,Southern Metropolitan,3280.0,Port Phillip
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,07/05/2016,3.3,3206,2,1,1.0,167,1970.0,Port Phillip,-378.405,1.449.521,Southern Metropolitan,3280.0,Port Phillip
Albert Park,104 Richardson St,4,h,2255000,S,Marshall,07/05/2016,3.3,3206,4,2,1.0,153,1880.0,Port Phillip,-378.447,1.449.523,Southern Metropolitan,3280.0,Port Phillip
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,07/11/2016,3.3,3206,3,2,2.0,718,1970.0,Port Phillip,-378.443,1.449.598,Southern Metropolitan,3280.0,Port Phillip
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,07/11/2016,3.3,3206,3,2,1.0,132,1996.0,Port Phillip,-378.415,144.952,Southern Metropolitan,3280.0,Port Phillip
Albert Park,29 Faussett St,2,h,2120000,S,Greg,10/09/2016,3.3,3206,2,1,1.0,199,1900.0,Port Phillip,-378.422,1.449.554,Southern Metropolitan,3280.0,Port Phillip
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,10/09/2016,3.3,3206,3,1,1.0,253,1970.0,Port Phillip,-378.443,1.449.579,Southern Metropolitan,3280.0,Port Phillip
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10/09/2016,3.3,3206,3,2,1.0,90,1900.0,Port Phillip,-378.421,1.449.571,Southern Metropolitan,3280.0,Port Phillip
Albert Park,44 Draper St,2,h,1810000,PI,Greg,10/12/2016,3.3,3206,2,1,0.0,240,1970.0,Port Phillip,-378.379,1.449.539,Southern Metropolitan,3280.0,Port Phillip
Albert Park,2 Dundas Pl,3,h,2255000,S,Cayzer,10/12/2016,3.3,3206,3,2,1.0,177,1880.0,Port Phillip,-378.415,1.449.585,Southern Metropolitan,3280.0,Port Phillip
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,10/12/2016,3.3,3206,3,1,0.0,129,1970.0,Port Phillip,-378.422,14.494.899.999.999.900,Southern Metropolitan,3280.0,Port Phillip
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,12/06/2016,3.3,3206,3,2,2.0,0,2000.0,Port Phillip,-378.451,1.449.511,Southern Metropolitan,3280.0,Port Phillip
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,12/11/2016,3.3,3206,2,1,0.0,288,1970.0,Port Phillip,-378.407,1.449.523,Southern Metropolitan,3280.0,Port Phillip
Albert Park,70 Barrett St,3,h,2255000,S,Greg,15/10/2016,3.3,3206,3,2,1.0,228,1970.0,Port Phillip,-378.445,1.449.501,Southern Metropolitan,3280.0,Port Phillip
Albert Park,65 Graham St,2,h,1322500,S,Greg,15/10/2016,3.3,3206,2,1,0.0,149,1890.0,Port Phillip,-378.443,1.449.481,Southern Metropolitan,3280.0,Port Phillip
Albert Park,364 Montague St,2,h,1562500,S,Greg,15/10/2016,3.3,3206,2,1,0.0,141,1890.0,Port Phillip,-378.424,1.449.562,Southern Metropolitan,3280.0,Port Phillip
Albert Park,86 Mills St,3,h,2000000,VB,RT,16/04/2016,3.3,3206,3,2,1.0,211,1900.0,Port Phillip,-37.847,1.449.575,Southern Metropolitan,3280.0,Port Phillip
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,18/03/2017,3.3,3206,3,1,0.0,209,1900.0,Port Phillip,-378.468,1.449.546,Southern Metropolitan,3280.0,Port Phillip
Albert Park,97 Page St,3,h,2255000,S,Greg,18/03/2017,3.3,3206,3,2,0.0,147,1890.0,Port Phillip,-378.473,1.449.551,Southern Metropolitan,3280.0,Port Phillip
Albert Park,55 Withers St,4,h,2255000,VB,Cayzer,18/06/2016,3.3,3206,4,3,1.0,327,1910.0,Port Phillip,-378.467,1.449.475,Southern Metropolitan,3280.0,Port Phillip
Albert Park,10/140 Kerferd Rd,2,u,647000,S,Greg,22/05/2016,3.3,3206,2,1,1.0,0,1970.0,Port Phillip,-37.846,1.449.542,Southern Metropolitan,3280.0,Port Phillip
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,23/04/2016,3.3,3206,2,1,1.0,120,1900.0,Port Phillip,-378.427,1.449.546,Southern Metropolitan,3280.0,Port Phillip
Albert Park,49 Page St,3,h,2000000,PI,Marshall,24/09/2016,3.3,3206,3,1,1.0,238,1890.0,Port Phillip,-378.461,1.449.528,Southern Metropolitan,3280.0,Port Phillip
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25/02/2017,3.3,3206,1,1,0.0,0,1970.0,Port Phillip,-378.421,1.449.517,Southern Metropolitan,3280.0,Port Phillip
Albert Park,115 Page St,4,h,2255000,S,Marshall,25/02/2017,3.3,3206,4,2,1.0,330,1910.0,Port Phillip,-378.477,1.449.558,Southern Metropolitan,3280.0,Port Phillip
Albert Park,32 Page St,2,h,1340000,S,Greg,25/02/2017,3.3,3206,2,1,0.0,136,1970.0,Port Phillip,-37.846,1.449.517,Southern Metropolitan,3280.0,Port Phillip
Albert Park,34 Richardson St,3,h,1801000,S,hockingstuart,25/02/2017,3.3,3206,3,1,1.0,202,1970.0,Port Phillip,-378.429,1.449.493,Southern Metropolitan,3280.0,Port Phillip
Albert Park,2b Dundas Pl,3,h,1532000,S,Chisholm,26/07/2016,3.3,3206,3,3,1.0,0,1970.0,Port Phillip,-378.415,1.449.585,Southern Metropolitan,3280.0,Port Phillip
Albert Park,22 Greig St,3,h,2255000,S,Greg,26/07/2016,3.3,3206,3,2,2.0,325,1970.0,Port Phillip,-378.413,144.95,Southern Metropolitan,3280.0,Port Phillip
Albert Park,27 Barrett St,4,h,2140000,S,Greg,27/06/2016,3.3,3206,3,2,1.0,183,1880.0,Port Phillip,-378.434,1.449.495,Southern Metropolitan,3280.0,Port Phillip
Albert Park,44 Greig St,2,h,1750000,S,Marshall,27/11/2016,3.3,3206,2,1,1.0,162,1970.0,Port Phillip,-378.416,1.449.488,Southern Metropolitan,3280.0,Port Phillip
Albert Park,6 Brooke St,2,h,980000,S,Greg,28/05/2016,3.3,3206,2,1,0.0,79,1890.0,Port Phillip,-378.387,1.449.519,Southern Metropolitan,3280.0,Port Phillip
Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,28/08/2016,3.3,3206,3,2,0.0,152,1970.0,Port Phillip,-378.488,1.449.551,Southern Metropolitan,3280.0,Port Phillip
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,28/08/2016,3.3,3206,3,2,2.0,147,1890.0,Port Phillip,-378.448,1.449.453,Southern Metropolitan,3280.0,Port Phillip
Albert Park,74 Bridport St,3,h,2255000,VB,Buxton,30/07/2016,3.3,3206,3,3,1.0,0,1970.0,Port Phillip,-378.399,1.449.577,Southern Metropolitan,3280.0,Port Phillip
Albert Park,9 Durham St,1,h,985000,S,Marshall,30/07/2016,3.3,3206,1,1,0.0,81,1900.0,Port Phillip,-378.411,1.449.497,Southern Metropolitan,3280.0,Port Phillip
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,03/09/2016,6.4,3078,3,2,2.0,208,2013.0,Yarra,-377.854,1.450.325,Northern Metropolitan,2211.0,Yarra
Alphington,136A Fulham Rd,3,h,1492000,S,Jellis,04/03/2017,6.4,3078,3,2,2.0,411,1970.0,Darebin,-377.713,1.450.279,Northern Metropolitan,2211.0,Darebin
Alphington,44 Shiers St,4,h,1717500,S,Collins,08/10/2016,6.4,3078,4,2,1.0,599,1925.0,Darebin,-377.717,145.031,Northern Metropolitan,2211.0,Darebin
Alphington,3/19 Harker St,2,u,525500,S,Miles,12/11/2016,6.4,3078,2,1,1.0,88,1960.0,Darebin,-377.791,1.450.306,Northern Metropolitan,2211.0,Darebin
Alphington,4/2 Miller St,2,t,805000,S,Miles,12/11/2016,6.4,3078,2,2,3.0,155,2004.0,Darebin,-377.804,1.450.308,Northern Metropolitan,2211.0,Darebin
Alphington,2/5 Yarana Rd,2,u,465000,S,McGrath,12/11/2016,6.4,3078,2,1,1.0,0,1970.0,Darebin,-377.773,1.450.314,Northern Metropolitan,2211.0,Darebin
Alphington,815 Heidelberg Rd,3,h,2000000,PI,hockingstuart,15/10/2016,6.4,3078,3,3,2.0,686,1970.0,Darebin,-37.78,1.450.341,Northern Metropolitan,2211.0,Darebin
Alphington,44 Naroon Rd,3,h,1540000,S,Nelson,16/04/2016,6.4,3078,3,1,2.0,592,1970.0,Darebin,-377.755,1.450.288,Northern Metropolitan,2211.0,Darebin
Alphington,3/98 Grange Rd,2,u,820000,S,Nelson,18/03/2017,6.4,3078,2,1,1.0,183,1970.0,Darebin,-377.747,1.450.264,Northern Metropolitan,2211.0,Darebin
Alphington,10 Bennett St,4,h,1830000,S,Nelson,19/11/2016,6.4,3078,4,2,2.0,606,1970.0,Darebin,-377.743,1.450.316,Northern Metropolitan,2211.0,Darebin
Alphington,38 Bennett St,4,h,2100000,S,Nelson,19/11/2016,6.4,3078,4,2,2.0,575,2008.0,Darebin,-377.723,1.450.319,Northern Metropolitan,2211.0,Darebin
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,22/05/2016,6.4,3078,3,1,1.0,180,2010.0,Darebin,-377.802,1.450.243,Northern Metropolitan,2211.0,Darebin
Alphington,5/5 Yarana Rd,2,u,390000,VB,Nelson,22/05/2016,6.4,3078,2,1,1.0,0,1960.0,Darebin,-377.773,1.450.314,Northern Metropolitan,2211.0,Darebin
Alphington,1/14 Fulham Rd,2,u,512000,S,Love,25/02/2017,6.4,3078,2,1,1.0,0,1965.0,Darebin,-377.805,1.450.262,Northern Metropolitan,2211.0,Darebin
Alphington,22 Lowther St,3,h,1165000,S,Barry,27/06/2016,6.4,3078,3,1,2.0,979,1970.0,Yarra,-377.792,145.029,Northern Metropolitan,2211.0,Yarra
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,27/11/2016,6.4,3078,4,2,2.0,556,1930.0,Yarra,-377.844,1.450.225,Northern Metropolitan,2211.0,Yarra
Alphington,6 Naroon Rd,3,h,1485000,SP,McGrath,28/08/2016,6.4,3078,3,0,0.0,597,1970.0,Darebin,-377.781,1.450.284,Northern Metropolitan,2211.0,Darebin
Alphington,42 Shiers St,4,h,1950000,S,Jellis,30/07/2016,6.4,3078,4,2,3.0,589,1920.0,Darebin,-377.719,1.450.309,Northern Metropolitan,2211.0,Darebin
Altona,158 Queen St,3,h,520000,VB,Greg,03/09/2016,13.8,3018,3,2,1.0,352,2015.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301.0,Hobsons Bay
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,04/02/2016,13.8,3018,2,1,2.0,292,2013.0,Hobsons Bay,-378.687,1.448.197,Western Metropolitan,5301.0,Hobsons Bay
Altona,4 Blyth St,3,h,1120000,S,Barlow,04/03/2017,13.8,3018,3,1,2.0,506,1930.0,Hobsons Bay,-378.693,1.448.375,Western Metropolitan,5301.0,Hobsons Bay
Altona,1/170 Blyth St,3,u,630000,S,Barlow,06/08/2016,13.8,3018,2,1,2.0,311,1955.0,Hobsons Bay,-378.702,1.448.143,Western Metropolitan,5301.0,Hobsons Bay
Altona,5/35 Grieve Pde,2,u,406000,SP,hockingstuart,06/08/2016,13.8,3018,2,1,1.0,65,1970.0,Hobsons Bay,-378.693,1.448.171,Western Metropolitan,5301.0,Hobsons Bay
Altona,156 Maidstone St,3,h,660000,VB,Greg,07/05/2016,13.8,3018,3,1,1.0,602,1955.0,Hobsons Bay,-378.616,1.448.116,Western Metropolitan,5301.0,Hobsons Bay
Altona,11 Keeshan Ct,3,h,683500,S,Greg,07/11/2016,13.8,3018,3,1,1.0,530,1970.0,Hobsons Bay,-378.594,144.817,Western Metropolitan,5301.0,Hobsons Bay
Altona,1/136 Queen St,2,u,580000,S,Barlow,08/10/2016,13.8,3018,2,1,1.0,225,1988.0,Hobsons Bay,-378.696,144.827,Western Metropolitan,5301.0,Hobsons Bay
Altona,1/265 Queen St,3,t,800000,SP,hockingstuart,08/10/2016,13.8,3018,3,2,2.0,280,1997.0,Hobsons Bay,-378.734,1.448.143,Western Metropolitan,5301.0,Hobsons Bay
Altona,3/26 Grieve Pde,2,u,510000,S,Village,10/09/2016,13.8,3018,2,1,1.0,127,1990.0,Hobsons Bay,-378.686,1.448.182,Western Metropolitan,5301.0,Hobsons Bay
